step,win_rate,lose_rate,draw_rate,acum_reward
103000,0.0,0.2000000029802322,0.800000011920929,-13.447101593017578
104000,0.2000000029802322,0.5,0.3000000119209289,-7.028741836547852
105000,0.2000000029802322,0.4000000059604645,0.4000000059604645,-9.969049453735352
106000,0.1000000014901161,0.4000000059604645,0.5,-7.170044422149658
107000,0.3000000119209289,0.3000000119209289,0.4000000059604645,-4.675357341766357
108000,0.4000000059604645,0.2000000029802322,0.4000000059604645,-2.8506083488464355
109000,0.2000000029802322,0.6000000238418579,0.2000000029802322,-12.842336654663086
110000,0.3000000119209289,0.5,0.2000000029802322,-4.780735015869141
111000,0.3000000119209289,0.699999988079071,0.0,-8.039552688598633
112000,0.2000000029802322,0.1000000014901161,0.699999988079071,-22.41768455505371
113000,0.3000000119209289,0.4000000059604645,0.3000000119209289,-5.744822978973389
